DateTime,Max/Min,State,Fuel Type,Supply
19/05/2018 02:00,Min,NEM,Utility-scale Solar,1.2
19/05/2018 02:00,Min,NEM,Wind,237.795
03/06/2018 01:30,Min,NEM,Battery,2.033
03/06/2018 01:30,Min,NEM,Biomass,0
03/06/2018 01:30,Min,NEM,Black coal,12619.161
03/06/2018 01:30,Min,NEM,Brown coal,4359.655
03/06/2018 01:30,Min,NEM,Distributed PV,0
03/06/2018 01:30,Min,NEM,Gas,1671.123
03/06/2018 01:30,Min,NEM,Hydro,1368.906
03/06/2018 01:30,Min,NEM,Liquid Fuel,0.07
03/06/2018 01:30,Min,NEM,Utility-scale Solar,0.998
03/06/2018 01:30,Min,NEM,Wind,405.544
15/06/2018 13:00,Max,NEM,Battery,1.216
15/06/2018 13:00,Max,NEM,Biomass,15.75
15/06/2018 13:00,Max,NEM,Black coal,11920.277
15/06/2018 13:00,Max,NEM,Brown coal,3793.945
15/06/2018 13:00,Max,NEM,Distributed PV,2429.612
15/06/2018 13:00,Max,NEM,Gas,1006.782
15/06/2018 13:00,Max,NEM,Hydro,2850.507
15/06/2018 13:00,Max,NEM,Liquid Fuel,0.066
15/06/2018 13:00,Max,NEM,Utility-scale Solar,346.507
15/06/2018 13:00,Max,NEM,Wind,3295.158
01/07/2018 06:00,Min,NEM,Battery,0
01/07/2018 06:00,Min,NEM,Biomass,14.7
01/07/2018 06:00,Min,NEM,Black coal,11808.43
01/07/2018 06:00,Min,NEM,Brown coal,4692.621
01/07/2018 06:00,Min,NEM,Distributed PV,0
01/07/2018 06:00,Min,NEM,Gas,1019.829
01/07/2018 06:00,Min,NEM,Hydro,1209.077
01/07/2018 06:00,Min,NEM,Liquid Fuel,0.09
01/07/2018 06:00,Min,NEM,Utility-scale Solar,1.009
01/07/2018 06:00,Min,NEM,Wind,679.985
29/07/2018 12:00,Max,NEM,Battery,0
29/07/2018 12:00,Max,NEM,Biomass,45.116
29/07/2018 12:00,Max,NEM,Black coal,9987.015
29/07/2018 12:00,Max,NEM,Brown coal,3884.068
29/07/2018 12:00,Max,NEM,Distributed PV,2965.349
29/07/2018 12:00,Max,NEM,Gas,512.705
29/07/2018 12:00,Max,NEM,Hydro,1690.984
29/07/2018 12:00,Max,NEM,Liquid Fuel,0.063
29/07/2018 12:00,Max,NEM,Utility-scale Solar,524.393
29/07/2018 12:00,Max,NEM,Wind,3395.858
18/08/2018 12:30,Max,NEM,Battery,10.718
18/08/2018 12:30,Max,NEM,Biomass,61.283
18/08/2018 12:30,Max,NEM,Black coal,9543.97
18/08/2018 12:30,Max,NEM,Brown coal,4097.025
18/08/2018 12:30,Max,NEM,Distributed PV,3406.807
18/08/2018 12:30,Max,NEM,Gas,494.475
18/08/2018 12:30,Max,NEM,Hydro,1338.585
18/08/2018 12:30,Max,NEM,Liquid Fuel,0.098
18/08/2018 12:30,Max,NEM,Utility-scale Solar,582.589
18/08/2018 12:30,Max,NEM,Wind,3694.63
26/08/2018 05:30,Min,NEM,Battery,0.001
26/08/2018 05:30,Min,NEM,Biomass,49.333
26/08/2018 05:30,Min,NEM,Black coal,10745.508
26/08/2018 05:30,Min,NEM,Brown coal,3822.67
26/08/2018 05:30,Min,NEM,Distributed PV,0
26/08/2018 05:30,Min,NEM,Gas,1363.959
26/08/2018 05:30,Min,NEM,Hydro,1686.212
26/08/2018 05:30,Min,NEM,Liquid Fuel,0.114
26/08/2018 05:30,Min,NEM,Utility-scale Solar,0.996
26/08/2018 05:30,Min,NEM,Wind,624.713
15/09/2018 12:00,Max,NEM,Battery,0
15/09/2018 12:00,Max,NEM,Biomass,49.7
15/09/2018 12:00,Max,NEM,Black coal,9940.573
15/09/2018 12:00,Max,NEM,Brown coal,3642.695
15/09/2018 12:00,Max,NEM,Distributed PV,3619.026
15/09/2018 12:00,Max,NEM,Gas,726.189
15/09/2018 12:00,Max,NEM,Hydro,1308.343
15/09/2018 12:00,Max,NEM,Liquid Fuel,0.063
15/09/2018 12:00,Max,NEM,Utility-scale Solar,744.665
15/09/2018 12:00,Max,NEM,Wind,3385.191
21/09/2018 05:00,Min,NEM,Battery,0
21/09/2018 05:00,Min,NEM,Biomass,42.016
21/09/2018 05:00,Min,NEM,Black coal,12442.967
21/09/2018 05:00,Min,NEM,Brown coal,3777.425
21/09/2018 05:00,Min,NEM,Distributed PV,0
21/09/2018 05:00,Min,NEM,Gas,1350.814
21/09/2018 05:00,Min,NEM,Hydro,1645.154
